,food,green,wood,paper_cardboard,textiles,total
2010-11-01,368739.4106675202,92029.93713889293,126062.31174266178,280373.0465424814,36831.23154191864,904035.9376334749
2010-12-01,381911.12561461446,95330.7667275466,130623.1295077622,290563.3415291484,38176.26836758928,936604.6317466609
2011-01-01,382816.90753840486,95570.76239728536,130992.70933682364,291433.76808722207,38297.24851701704,939111.395876753
2011-02-01,346584.7687775998,86537.92232479865,118648.81874605057,264014.6913140599,34700.10379911204,850486.304961621
2011-03-01,382249.8718350233,95479.6719588702,131008.96943802411,291630.05816873186,38344.36436599959,938712.9357666491
2011-04-01,370706.55717838736,92610.59420680958,127113.88077147982,283008.63802047085,37217.51506331958,910657.1852404672
2011-05-01,384006.93381938245,95945.88412469998,131728.95743636647,293328.180190387,38580.72295842604,943590.6785292618
2011-06-01,372399.7342513825,93060.04621511017,127808.5752275463,284647.80009199184,37445.76403192407,915361.919817955
2011-07-01,385749.3746783092,96408.60327075871,132444.74629109062,295017.80964735826,38816.096085338126,948436.6299728549
2011-08-01,386629.2285912817,96642.40717105941,132806.88866214745,295873.20037186757,38935.3322010757,950887.0569974319
2011-09-01,377212.42594237375,94278.14492056544,129534.34846050543,288562.0710693413,37971.06032862401,927558.05072141
2011-10-01,390630.66726721835,97645.33817385396,134200.59462803608,299004.49405752774,39351.67374756333,960832.7678741994
2011-11-01,378870.4833975068,94719.19802398584,130218.92503038122,290180.74877256504,38196.92982671085,932186.2850511498
2011-12-01,392336.96668642864,98099.41049217086,134905.9583669335,300673.0084626784,39584.5931353871,965599.9371435985
2012-01-01,392124.2553360458,98060.18678215315,134893.2553880757,300693.8900547481,39594.10916714664,965365.6967281693
2012-02-01,367630.5877876551,91947.91246093447,126523.43584279853,282082.2872810293,37149.711549445936,905333.9349218634
2012-03-01,391430.59589887015,97939.31464433289,134874.6333380215,300820.3228802903,39633.17447546154,964698.0412369763
2012-04-01,381987.65628522035,95563.87602859762,131573.76577153394,293431.42636215786,38656.723215280595,941213.4476627903
2012-05-01,393106.1813237808,98385.77012709249,135570.0690120302,302467.7854393499,39863.509383134646,969393.315285388
2012-06-01,383602.44717524963,95994.3096103814,132244.79884324363,295021.74080556363,38879.16084033891,945742.4572747772
2012-07-01,394767.9739759022,98828.91392987932,136261.4834388165,304107.07436559966,40092.891069323945,974058.3367795217
2012-08-01,395600.307070135,99051.19974440015,136609.24883650595,304932.62779037806,40208.54546676021,976401.9289081794
2012-09-01,385914.53020087304,96613.9671670161,133220.0551843019,297342.7154502771,39205.04563004614,952296.3136325143
2012-10-01,397147.3548646597,100047.96307129934,137266.36133895407,308049.1079637471,40428.949335307014,982939.7365739673
2012-11-01,387483.0897234415,97033.30478281545,133877.46869598806,298904.96017405624,39424.13358295337,956722.9569592546
2012-12-01,398761.5704916577,100479.68325666866,137943.74253744842,309659.4627501244,40654.87677922955,987499.3358151286
2013-01-01,403107.9745458006,100973.71055704239,139396.2912580299,311325.34263234737,41075.95029322774,995879.2692864479
2013-02-01,364828.4214201678,91397.92718371225,126214.77973582226,281931.63222631643,37204.08241029132,901576.84297631
2013-03-01,402370.8768896314,100841.84910828172,139363.10867475613,311421.07242797833,41111.31482780728,995108.2219284547
2013-04-01,390089.6569405782,97778.48683673845,135172.62484604729,302108.42615483666,39889.01810366376,965038.2128818644
2013-05-01,403947.2101607904,101264.70003070627,140030.3598859917,313011.66744257003,41335.06228740439,999588.9998074628
2013-06-01,391608.6227853745,98186.12487747625,135816.42391136463,303643.7740807814,40105.08648689161,969360.0321418884
2013-07-01,405510.313780613,101684.35859722017,140693.69587368245,314594.26452748093,41557.872351034704,1004040.5051300311
2013-08-01,406306.4293033818,101898.03747687153,141031.35380389765,315399.83900911745,41671.29306310233,1006306.9526563707
2013-09-01,396174.18449331226,99344.83723141155,137469.88398504234,307410.73154856777,40613.14851542909,981012.785773763
2013-10-01,410144.1271310546,102861.59151374115,142377.0927059011,318433.4770260027,42076.227386985775,1015892.5157636853
2013-11-01,397674.45454386825,99747.92895648775,138108.1785982306,308935.14425417443,40828.00218046619,985293.7085332272
2013-12-01,411688.0482466934,103276.58189172574,143034.7691363963,320004.8241531262,42297.78711309316,1020302.0105410347
